geoid,2018, total_count, total_count (/10K pop), total_Case fatality rate, total_deaths, total_deaths (/10K pop)
05069,4,36359,5162.87,4.71,1714,243.38
05071,1,6076,2311.06,0.0,0,0.0
05073,4,820,1185.83,8.54,70,101.23
05075,1,6095,3656.49,7.48,456,273.56
05077,4,14932,15888.49,0.6,89,94.7
05079,4,71130,51938.66,0.82,583,425.7
05081,4,1090,877.83,0.0,0,0.0
05083,1,1081,496.85,0.09,1,0.46
05085,1,5330,738.17,0.17,9,1.25
05087,1,4230,2631.25,0.0,0,0.0
05089,0,166,100.99,0.0,0,0.0
05091,4,4716,1077.72,1.97,93,21.25
05093,4,5880,1372.84,1.77,104,24.28
05095,4,492,678.71,0.0,0,0.0
05097,0,132,146.78,0.0,0,0.0
05099,4,2679,3174.17,1.49,40,47.39
05101,0,279,355.5,0.0,0,0.0
05103,4,946,392.43,0.0,0,0.0
05105,0,1124,1088.94,0.0,0,0.0
05107,4,2786,1463.7,4.02,112,58.84
05109,1,431,398.78,0.0,0,0.0
05111,1,2886,1199.8,5.44,157,65.27
05113,1,2397,1188.81,0.04,1,0.5
05115,1,13614,2139.09,0.65,89,13.98
05117,1,508,616.21,0.0,0,0.0
05119,2,81991,2083.83,3.3,2704,68.72
05121,1,2198,1248.65,0.77,17,9.66
05123,4,39351,14965.77,0.22,86,32.71
05125,1,10525,891.88,1.11,117,9.91
05127,1,259,248.04,0.0,0,0.0
05129,0,645,814.09,0.0,0,0.0
05131,2,8943,701.63,0.89,80,6.28
05133,3,19060,11085.91,1.03,197,114.58
05135,0,2682,1573.67,6.19,166,97.4
05137,0,882,708.66,0.0,0,0.0
05139,4,11431,2877.03,4.52,517,130.12
05141,0,2788,1671.06,6.6,184,110.29
05143,2,80575,3525.81,0.92,743,32.51
05145,1,4318,547.94,1.78,77,9.77
05147,4,209,313.81,0.0,0,0.0
05149,1,14471,6707.92,0.73,106,49.14
06001,2,270623,1646.43,2.81,7592,46.19
