geoid,2018, total_count, total_count (/10K pop), total_tested, total_Confirmed (%), race_White_count, race_White_tested, race_White_Confirmed (%), race_Black_count, race_Black_tested, race_Black_Confirmed (%), race_Asian_count, race_Asian_tested, race_Asian_Confirmed (%), race_Hispanic_count, race_Hispanic_tested, race_Hispanic_Confirmed (%), race_NH/PI*_count, race_NH/PI*_tested, race_NH/PI*_Confirmed (%), race_AI/AN**_count, race_AI/AN**_tested, race_AI/AN**_Confirmed (%), race_unkown_count, race_unkown_tested, race_unkown_Confirmed (%), race_other_count, race_other_tested, race_other_Confirmed (%), age_Unknown_count, age_Unknown_tested, age_Unknown_Confirmed (%), age_<20_count, age_<20_tested, age_<20_Confirmed (%), age_20-29_count, age_20-29_tested, age_20-29_Confirmed (%), age_30-39_count, age_30-39_tested, age_30-39_Confirmed (%), age_40-49_count, age_40-49_tested, age_40-49_Confirmed (%), age_50-59_count, age_50-59_tested, age_50-59_Confirmed (%), age_60-69_count, age_60-69_tested, age_60-69_Confirmed (%), age_70-79_count, age_70-79_tested, age_70-79_Confirmed (%), age_80+_count, age_80+_tested, age_80+_Confirmed (%), gender_male_count, gender_male_tested, gender_male_Confirmed (%), gender_female_count, gender_female_tested, gender_female_Confirmed (%), gender_unkown_count, gender_unkown_tested, gender_unkown_Confirmed (%)
60415,3,232,162.76,2156,10.76,85,676,12.57,34,229,14.85,0,25,0.0,18,113,15.93,0,0,0.0,0,8,0.0,75,1026,7.31,13,79,16.46,0,0,0.0,11,88,12.5,40,337,11.87,32,351,9.12,28,289,9.69,25,398,6.28,39,365,10.68,28,175,16.0,29,150,19.33,112,923,12.13,115,1071,10.74,0,162,0.0
60416,2,26,28.37,665,3.91,15,361,4.16,0,8,0.0,0,0,0.0,0,19,0.0,0,0,0.0,0,0,0.0,10,259,3.86,0,17,0.0,0,0,0.0,0,95,0.0,0,101,0.0,8,123,6.5,0,98,0.0,0,92,0.0,0,87,0.0,0,43,0.0,0,26,0.0,6,269,2.23,16,386,4.15,0,10,0.0
60417,2,196,128.74,2437,8.04,67,930,7.2,55,382,14.4,0,7,0.0,18,56,32.14,0,0,0.0,0,0,0.0,48,1007,4.77,7,52,13.46,0,0,0.0,7,104,6.73,20,233,8.58,27,273,9.89,27,305,8.85,29,362,8.01,34,440,7.73,21,378,5.56,31,342,9.06,84,1011,8.31,109,1357,8.03,0,69,0.0
60419,0,449,198.29,4505,9.97,11,99,11.11,292,1826,15.99,0,0,0.0,19,38,50.0,0,0,0.0,0,0,0.0,120,2483,4.83,6,55,10.91,0,0,0.0,22,240,9.17,61,563,10.83,59,565,10.44,62,637,9.73,89,869,10.24,83,946,8.77,42,422,9.95,31,259,11.97,186,1821,10.21,259,2570,10.08,0,114,0.0
60420,1,14,29.09,425,3.29,10,230,4.35,0,6,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,171,0.0,0,12,0.0,0,0,0.0,0,44,0.0,0,42,0.0,0,50,0.0,0,65,0.0,0,82,0.0,0,64,0.0,0,36,0.0,0,41,0.0,10,160,6.25,0,234,0.0,0,31,0.0
60421,2,15,39.03,312,4.81,9,151,5.96,0,7,0.0,0,0,0.0,0,10,0.0,0,0,0.0,0,0,0.0,0,125,0.0,0,18,0.0,0,0,0.0,0,10,0.0,0,38,0.0,0,54,0.0,0,19,0.0,0,72,0.0,0,52,0.0,0,37,0.0,0,30,0.0,8,144,5.56,7,165,4.24,0,0,0.0
60422,0,98,100.33,1508,6.5,13,244,5.33,51,429,11.89,0,6,0.0,0,8,0.0,0,0,0.0,0,0,0.0,32,801,4.0,0,17,0.0,0,0,0.0,8,101,7.92,10,156,6.41,13,132,9.85,20,234,8.55,19,301,6.31,13,295,4.41,0,196,0.0,11,92,11.96,47,657,7.15,51,842,6.06,0,9,0.0
60423,2,201,64.97,3123,6.44,95,1104,8.61,17,99,17.17,8,25,32.0,7,39,17.95,0,0,0.0,0,0,0.0,70,1760,3.98,0,94,0.0,0,0,0.0,12,257,4.67,34,463,7.34,23,334,6.89,32,478,6.69,52,628,8.28,27,520,5.19,12,300,4.0,9,143,6.29,103,1388,7.42,98,1700,5.76,0,35,0.0
60424,1,6,24.34,156,3.85,0,74,0.0,0,0,0.0,0,0,0.0,0,6,0.0,0,0,0.0,0,0,0.0,0,65,0.0,0,11,0.0,0,0,0.0,0,16,0.0,0,35,0.0,0,13,0.0,0,21,0.0,0,38,0.0,0,15,0.0,0,14,0.0,0,0,0.0,0,81,0.0,0,69,0.0,0,6,0.0
60425,0,194,217.68,2136,9.08,30,257,11.67,77,649,11.86,0,0,0.0,8,30,26.67,0,0,0.0,0,6,0.0,75,1175,6.38,0,19,0.0,0,0,0.0,13,81,16.05,18,209,8.61,18,197,9.14,27,298,9.06,43,418,10.29,38,475,8.0,22,263,8.37,15,190,7.89,105,909,11.55,88,1108,7.94,0,119,0.0
